Way   Entries     Accesses    Misses   Hit %
4	256	     1000	8	99.2
4       256          100        8	92	
4       256          30         8	73

2	256	     1000	8	99.2
2       256          100        8	92
2       256	     30         8	73

2	128	     1000	8	99.2
2       128 	     100        8	92
2	128          30         8	73

2	64	     1000	8	99.2
2	64	     100	8	92
2	64	     30		8	73

2	32	     1000	8	99.2
2       32	     100	8	92
2	32           30		8	73

2	16	     1000	8	99.2
2	16	     100	8	92
2	16	     30		8	73

2 	8	     1000	120	88
2	8	     100	16	84
2	8	     30		9	70

1	32	     10000	774	92.3
1	32	     1000	82	91.8
1	32	     100	13	87
1	32	     30		8	73

1	16	     10000	774	92.3
1	16	     1000	82	91.8
1	16	     100	13	87
1	16	     30		8	73

1	8	     10000      2690	73.1
1	8	     1000	268	73.2
1	8	     100	24	76
1	8	     30		9	70




